id,parent_id,admin_level,name,relation_name
1217,12,6,tatrzański,powiat tatrzański
1218,12,6,wadowicki,powiat wadowicki
1219,12,6,wielicki,powiat wielicki
1261,12,6,Kraków,miasto na prawach powiatu Kraków
1262,12,6,Nowy Sącz,miasto na prawach powiatu Nowy Sącz
1263,12,6,Tarnów,miasto na prawach powiatu Tarnów
14,1,4,mazowieckie,województwo mazowieckie
1401,14,6,białobrzeski,powiat białobrzeski
1402,14,6,ciechanowski,powiat ciechanowski
1403,14,6,garwoliński,powiat garwoliński
1404,14,6,gostyniński,powiat gostyniński
1405,14,6,grodziski,powiat grodziski
1406,14,6,grójecki,powiat grójecki
1407,14,6,kozienicki,powiat kozienicki
1408,14,6,legionowski,powiat legionowski
1409,14,6,lipski,powiat lipski
1410,14,6,łosicki,powiat łosicki
1411,14,6,makowski,powiat makowski
1412,14,6,miński,powiat miński
1413,14,6,mławski,powiat mławski
1414,14,6,nowodworski,powiat nowodworski
1415,14,6,ostrołęcki,powiat ostrołęcki
1416,14,6,ostrowski,powiat ostrowski
1417,14,6,otwocki,powiat otwocki
1418,14,6,piaseczyński,powiat piaseczyński
1419,14,6,płocki,powiat płocki
1420,14,6,płoński,powiat płoński
1421,14,6,pruszkowski,powiat pruszkowski
1422,14,6,przasnyski,powiat przasnyski
1423,14,6,przysuski,powiat przysuski
1424,14,6,pułtuski,powiat pułtuski
1425,14,6,radomski,powiat radomski
1426,14,6,siedlecki,powiat siedlecki
1427,14,6,sierpecki,powiat sierpecki
1428,14,6,sochaczewski,powiat sochaczewski
1429,14,6,sokołowski,powiat sokołowski
1430,14,6,szydłowiecki,powiat szydłowiecki
1432,14,6,warszawski zachodni,powiat warszawski zachodni
1433,14,6,węgrowski,powiat węgrowski
1434,14,6,wołomiński,powiat wołomiński
1435,14,6,wyszkowski,powiat wyszkowski
1436,14,6,zwoleński,powiat zwoleński
1437,14,6,żuromiński,powiat żuromiński
1438,14,6,żyrardowski,powiat żyrardowski
1461,14,6,Ostrołęka,miasto na prawach powiatu Ostrołęka
1462,14,6,Płock,miasto na prawach powiatu Płock
1463,14,6,Radom,miasto na prawach powiatu Radom
1464,14,6,Siedlce,miasto na prawach powiatu Siedlce
1465,14,6,Warszawa,miasto stołeczne, na prawach powiatu Warszawa
16,1,4,opolskie,województwo opolskie
1601,16,6,brzeski,powiat brzeski
1602,16,6,głubczycki,powiat głubczycki
1603,16,6,kędzierzyńsko-kozielski,powiat kędzierzyńsko-kozielski
1604,16,6,kluczborski,powiat kluczborski
1605,16,6,krapkowicki,powiat krapkowicki
1606,16,6,namysłowski,powiat namysłowski
1607,16,6,nyski,powiat nyski
1608,16,6,oleski,powiat oleski
1609,16,6,opolski,powiat opolski
1610,16,6,prudnicki,powiat prudnicki
1611,16,6,strzelecki,powiat strzelecki
1661,16,6,Opole,miasto na prawach powiatu Opole
18,1,4,podkarpackie,województwo podkarpackie
1801,18,6,bieszczadzki,powiat bieszczadzki
1802,18,6,brzozowski,powiat brzozowski
1803,18,6,dębicki,powiat dębicki
1804,18,6,jarosławski,powiat jarosławski
1805,18,6,jasielski,powiat jasielski
1806,18,6,kolbuszowski,powiat kolbuszowski
1807,18,6,krośnieński,powiat krośnieński
1808,18,6,leżajski,powiat leżajski
1809,18,6,lubaczowski,powiat lubaczowski
1810,18,6,łańcucki,powiat łańcucki
1811,18,6,mielecki,powiat mielecki
1812,18,6,niżański,powiat niżański
1813,18,6,przemyski,powiat przemyski
1814,18,6,przeworski,powiat przeworski
1815,18,6,ropczycko-sędziszowski,powiat ropczycko-sędziszowski
1816,18,6,rzeszowski,powiat rzeszowski
1817,18,6,sanocki,powiat sanocki
1818,18,6,stalowowolski,powiat stalowowolski
1819,18,6,strzyżowski,powiat strzyżowski
1820,18,6,tarnobrzeski,powiat tarnobrzeski
1821,18,6,leski,powiat leski
1861,18,6,Krosno,miasto na prawach powiatu Krosno
1862,18,6,Przemyśl,miasto na prawach powiatu Przemyśl
1863,18,6,Rzeszów,miasto na prawach powiatu Rzeszów
1864,18,6,Tarnobrzeg,miasto na prawach powiatu Tarnobrzeg
20,1,4,podlaskie,województwo podlaskie
2001,20,6,augustowski,powiat augustowski
2002,20,6,białostocki,powiat białostocki
2003,20,6,bielski,powiat bielski
2004,20,6,grajewski,powiat grajewski
2005,20,6,hajnowski,powiat hajnowski
2006,20,6,kolneński,powiat kolneński
2007,20,6,łomżyński,powiat łomżyński
2008,20,6,moniecki,powiat moniecki
2009,20,6,sejneński,powiat sejneński
2010,20,6,siemiatycki,powiat siemiatycki
2011,20,6,sokólski,powiat sokólski
2012,20,6,suwalski,powiat suwalski
2013,20,6,wysokomazowiecki,powiat wysokomazowiecki
2014,20,6,zambrowski,powiat zambrowski
2061,20,6,Białystok,miasto na prawach powiatu Białystok
2062,20,6,Łomża,miasto na prawach powiatu Łomża
2063,20,6,Suwałki,miasto na prawach powiatu Suwałki
22,1,4,pomorskie,województwo pomorskie
2201,22,6,bytowski,powiat bytowski
2202,22,6,chojnicki,powiat chojnicki
2203,22,6,człuchowski,powiat człuchowski
2204,22,6,gdański,powiat gdański
2205,22,6,kartuski,powiat kartuski
2206,22,6,kościerski,powiat kościerski
2207,22,6,kwidzyński,powiat kwidzyński
2208,22,6,lęborski,powiat lęborski
2209,22,6,malborski,powiat malborski
2210,22,6,nowodworski,powiat nowodworski
2211,22,6,pucki,powiat pucki
2212,22,6,słupski,powiat słupski
2213,22,6,starogardzki,powiat starogardzki
2214,22,6,tczewski,powiat tczewski
2215,22,6,wejherowski,powiat wejherowski
2216,22,6,sztumski,powiat sztumski
2261,22,6,Gdańsk,miasto na prawach powiatu Gdańsk
2262,22,6,Gdynia,miasto na prawach powiatu Gdynia
2263,22,6,Słupsk,miasto na prawach powiatu Słupsk
2264,22,6,Sopot,miasto na prawach powiatu Sopot
